Source,Target ,Type,Attribute,Value,SourceType,TargetType
2011/08,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2012/09,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2012/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2012/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2012/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2012/12,2013/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/12,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2013/01,2013/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/12,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2013/01,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2013/02,2013/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/12,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2013/01,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2013/02,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2013/03,2013/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/12,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2013/01,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2013/02,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2013/03,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2013/04,2013/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/12,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2013/01,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2013/02,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2013/03,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2013/04,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2013/05,2013/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/07,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/08,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/09,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/10,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/11,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/12,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2013/01,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2013/02,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2013/03,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2013/04,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2013/05,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
2013/06,2013/07,Temporary-Temporary,Term,0,Temporary,Temporary
